station,pat,long
苹果园,39.92632514,116.1777806
古城,39.90720146,116.1902475
八角游乐园,39.9074319,116.212821
八宝山,39.9072673,116.2358236
玉泉路,39.90733314,116.2530327
五棵松,39.90782694,116.2740183
万寿路,39.9074319,116.2951756
公主坟,39.9074319,116.3097668
军事博物馆,39.90746482,116.3240147
木樨地,39.90762942,116.3374472
南礼士路,39.90720146,116.3525963
复兴门,39.90716855,116.3565445
西单,39.9074319,116.3742685
天安门西,39.90746482,116.3917351
天安门东,39.90772818,116.4016485
王府井,39.90802445,116.411562
东单,39.90818905,116.4179134
建国门,39.90851824,116.4358091
永安里,39.90838656,116.4504862
国贸,39.9091437,116.4619017
大望路,39.90851824,116.4770937
四惠,39.90871575,116.4954615
四惠东,39.90851824,116.5153313
北京站,39.90496289,116.427269
崇文门,39.90097936,116.4168835
前门,39.89995875,116.3979578
和平门,39.90009044,116.384182
宣武门,39.89966244,116.3743114
长椿街,39.89962952,116.3630676
阜成门,39.92339604,116.3559866
车公庄,39.93224877,116.3558149
西直门,39.94044229,116.3554716
积水潭,39.94873352,116.3731956
鼓楼大街,39.94781233,116.3938379
安定门,39.94912832,116.4083004
雍和宫,39.94925992,116.4169693
东直门,39.94113326,116.4336634
东四十条,39.93386123,116.4340067
朝阳门,39.92494288,116.4346075
安河桥北,40.0118554,116.2699842
北宫门,40.0023555,116.2776875
西苑,39.99832832,116.2909269
圆明园,39.99949541,116.3096809
北京大学东门,39.99214738,116.3159037
中关村,39.98384497,116.316483
海淀黄庄,39.97564021,116.3175774
人民大学,39.96740157,116.3213539
魏公村,39.95781325,116.3232851
国家图书馆,39.94320615,116.3251948
动物园,39.9382048,116.3388205
新街口,39.9405081,116.3677883
平安里,39.93366379,116.3728952
西四,39.92458086,116.3734102
灵境胡同,39.91608921,116.3737535
菜市口,39.88945545,116.3739252
陶然亭,39.87853888,116.3743544
北京南站,39.86485366,116.3792896
马家堡,39.85322484,116.3712645
角门西,39.845927,116.3711357
公益西桥,39.83702192,116.3708353
天通苑北,40.08339089,116.4129782
天通苑,40.07521451,116.4131069
天通苑南,40.06631461,116.4129353
立水桥,40.05307755,116.4122486
立水桥南,40.0418421,116.4146519
北苑路北,40.03050621,116.4180422
大屯路东,40.00380194,116.4173341
惠新西街北口,39.98751131,116.4170659
惠新西街南口,39.97699678,116.4174628
和平西桥,39.96853218,116.4179724
和平里北街,39.95840742,116.4185062
北新桥,39.94086181,116.4168727
张自忠路,39.93365967,116.4171463
东四,39.92437002,116.4174937
灯市口,39.91721655,116.4177874
磁器口,39.89312273,116.4187248
天坛东门,39.88306399,116.420829
蒲黄榆,39.8656648,116.4215612
刘家窑,39.85764559,116.4221245
宋家庄,39.84578696,116.4283741
金安桥,39.929962,116.169034
杨庄,39.934174,116.194192
西黄村,39.939411,116.213386
廖公庄,39.935623,116.259357
田村,39.935623,116.259357
海淀五路居,39.93257785,116.2767649
慈寿寺,39.93308791,116.2951756
花园桥,39.93237218,116.3101047
白石桥南,39.93302416,116.3254738
车公庄西,39.93247193,116.3439851
北海北,39.93327302,116.3867033
南锣鼓巷,39.93313727,116.4032471
东大桥,39.92287973,116.4517012
呼家楼,39.92319857,116.4618427
金台路,39.92281597,116.4780861
十里堡,39.92306898,116.5018988
青年路,39.92316154,116.5175521
褡裢坡,39.92402136,116.5634394
黄渠,39.92416947,116.578213
常营,39.92575743,116.5995419
草房,39.92442864,116.6154689
物资学院路,39.933087,116.645543
通州北关,39.924687,116.668053
北运河西,39.908777,116.694489
北运河东,39.909261,116.713741
郝家府,39.909286,116.724215
东夏园,39.909493,116.740896
潞城,39.90889,116.754799
俸伯,40.13256796,116.6849542
顺义,40.13024654,116.6568553
石门,40.12984458,116.6413361
南法信,40.12839262,116.6094339
后沙峪,40.11408457,116.5642333
花梨坎,40.08439234,116.5576458
国展,40.07014072,116.5551674
孙河,40.04512751,116.534611
马泉营,40.03376752,116.5038192
崔各庄,40.02220846,116.4929187
望京东,40.00927,116.4933
望京,39.99871461,116.4697874
望京西,39.99598588,116.4515913
关庄,40.007136,116.437889
大屯路东,40.009611,116.424567
安立路,40.008946,116.414285
奥林匹克公园,40.007852,116.398711
北沙滩,40.007538,116.375561
六道口,40.006718,116.359309
清华东路西口,40.0063,116.345527
张郭庄,39.85831475,116.1871576
园博园,39.86123016,116.2019205
大瓦窑,39.85958305,116.2395787
郭庄子,39.86437808,116.25314
大井,39.86520776,116.2763089
七里庄,39.86753101,116.2942126
西局,39.86648417,116.3043809
泥洼,39.85831887,116.3043863
丰台站,39.84985607,116.3050139
首经贸,39.84444839,116.3202059
纪家庙,39.84441544,116.3332576
草桥,39.84594347,116.3511533
角门西,39.84594141,116.3711491
角门东,39.84514445,116.3849545
大红门,39.8453751,116.3988295
石榴庄,39.84590228,116.4139867
成寿寺,39.84586522,116.4474124
分钟寺,39.85187405,116.4539784
十里河,39.86580891,116.4590156
潘家园,39.87547188,116.4607698
劲松,39.88443783,116.4613223
双井,39.89355901,116.4616281
金台夕照,39.9167146,116.4618427
团结湖,39.9337296,116.4618695
